calle,calle_proper,plazas_pmr,plazas_total,metros_pmr,zonas_cyd,nplazas_cyd,metros_cyd,plazas_ora,tipo_ora,ubicacion_ora,latitude,longitude
"RIBERA DEL VIOLON, CALLE",Calle Ribera del Violón,2,3,22.00,0,0,0.00,0,Ninguno,Ninguna,,
"RIGOBERTA MENCHU, CALLE",Calle Rigoberta Menchú,1,1,5.10,0,0,0.00,0,Ninguno,Ninguna,,
"RODRIGO DE TRIANA, CALLE",Calle Rodrigo de Triana,1,1,4.10,0,0,0.00,0,Ninguno,Ninguna,,
"RONDA DE ALFAREROS, CALLE",Calle Ronda de Alfareros,2,5,13.60,0,0,0.00,0,Ninguno,Ninguna,,
"RONDA, CAMINO, DE",Camino de Ronda,6,10,60.84,6,2,111.30,0,Ninguno,Ninguna,,
"RUBEN DARIO, CALLE",Calle Rubén Darío,0,0,0.00,1,0,12.00,0,Ninguno,Ninguna,,
"RUISE?OR, CALLE",Calle Ruiseñor,2,3,19.69,1,0,13.70,0,Ninguno,Ninguna,,
"SABICA, PASEO, DE LA",Paseo de La Sabica,0,0,0.00,2,0,44.00,0,Ninguno,Ninguna,,
"SACROMONTE, CAMINO, DEL",Camino del Sacromonte,1,1,5.40,0,0,0.00,0,Ninguno,Ninguna,,
"SAETA, CALLE",Calle Saeta,2,3,18.30,0,0,0.00,0,Ninguno,Ninguna,,
"SAGRADA FAMILIA, CALLE",Calle Sagrada Familia,1,1,9.20,2,11,59.00,0,Ninguno,Ninguna,,
"SALON, PASEO, DEL",Paseo del Salón,3,4,23.60,1,0,14.40,0,Ninguno,Ninguna,,
"SALVADOR ALLENDE, AVENIDA",Avenida Salvador Allende,2,9,26.50,0,0,0.00,0,Ninguno,Ninguna,,
"SALVADOR, PLAZA, DEL",Plaza del Salvador,1,1,3.50,0,0,0.00,0,Ninguno,Ninguna,,
"SAN AGAPITO, CALLE",Calle San Agapito,1,1,6.50,0,0,0.00,0,Ninguno,Ninguna,,
"SAN ANTON, CALLE",Calle San Antón,0,0,0.00,2,6,51.34,0,Ninguno,Ninguna,,
"SAN BASILIO, CALLE",Calle San Basilio,1,3,15.10,1,0,10.30,0,Ninguno,Ninguna,,
"SAN BENITO, CALLE",Calle San Benito,1,1,6.18,0,0,0.00,0,Ninguno,Ninguna,,
"SAN FERNANDO, CALLE",Calle San Fernando,1,1,6.20,0,0,0.00,0,Ninguno,Ninguna,,
"SAN ISIDORO, CALLE",Calle San Isidoro,1,1,6.50,1,0,30.90,0,Ninguno,Ninguna,,
"SAN ISIDRO, PLAZA, DE",Plaza de San Isidro,1,1,6.00,1,0,16.67,0,Ninguno,Ninguna,,
"SAN JERONIMO, CALLE",Calle San Jerónimo,0,0,0.00,1,0,38.80,23,Azul,Toda la calle,,
"SAN JUAN DE DIOS, CALLE",Calle San Juan de Dios,3,5,36.10,3,2,50.60,16,Roja,Toda la calle,,
"SAN JUAN DE LETRAN, CALLE",Calle San Juan de Letrán,0,0,0.00,1,0,10.03,0,Ninguno,Ninguna,,
"SAN JUAN, PASAJE, DE",Pasaje de San Juan,1,1,3.60,0,0,0.00,0,Ninguno,Ninguna,,
"SAN LUIS, CALLE",Calle Sna Luis,0,0,0.00,1,0,23.80,0,Ninguno,Ninguna,,
"SAN MARCIAL, CALLE",Calle San Marcial,1,1,6.10,0,0,0.00,0,Ninguno,Ninguna,,
"SAN MIGUEL BAJO, PLACETA, DE",Placeta de San Miguel Bajo,1,1,5.00,1,0,5.10,0,Ninguno,Ninguna,,
"SAN PIO X, CALLE",Calle San Pío X,1,2,11.50,0,0,0.00,0,Ninguno,Ninguna,,
"SAN ROMULO, CALLE",Calle San Rómulo,2,3,15.10,1,0,18.10,0,Ninguno,Ninguna,,
"SANCHO PANZA, CALLE",Calle Sancho Panza,3,3,14.10,1,4,22.80,0,Ninguno,Ninguna,,
"SANTA ADELA, CALLE",Calle Santa Adela,3,8,45.60,0,0,0.00,0,Ninguno,Ninguna,,
"SANTA ANA, PLAZA, DE",Plaza de Santa Ana,1,2,15.90,0,0,0.00,0,Ninguno,Ninguna,,
"SANTA AURELIA, CALLE",Calle Santa Aurelia,1,1,5.00,0,0,0.00,0,Ninguno,Ninguna,,
"SANTA BARBARA, CALLE",Calle Santa Bárbara,1,1,3.50,0,0,0.00,86,Azul,Toda la calle,,
"SANTA CLARA, CALLE",Calle Santa Clara,0,0,0.00,2,0,51.60,0,Ninguno,Ninguna,,
"SANTA CLOTILDE, CALLE",Calle Santa Clotilde,1,1,6.80,3,0,51.00,0,Ninguno,Ninguna,,
